ID,Class,Duration
1,boat,42.3
2,kayak,42.3
3,kayak,42.3
4,beluga,1.26667
5,kayak,42.3
6,kayak,42.2
7,beluga,1.66667
9,beluga,0.433333
10,beluga,0.966667
15,beluga,4.3
19,beluga,1.16667
20,beluga,1.13333
21,beluga,1.1
23,beluga,2.96667
25,beluga,5.26667
30,beluga,1.46667
31,kayak,0.3
35,beluga,0.6
36,beluga,0.733333
38,beluga,2.36667
39,beluga,0.766667
43,beluga,0.0666667
44,beluga,2.93333
45,beluga,0.166667
46,beluga,0.966667
49,beluga,1.86667
50,beluga,0.2
53,beluga,1.66667
54,beluga,0.266667
55,beluga,0.533333
56,beluga,0.4
57,beluga,0.333333
59,beluga,0.366667
60,beluga,2.6
62,beluga,1.36667
