ID,Class,Duration
1,boat,29.6
2,beluga,4.33333
3,beluga,3.9
5,beluga,6.5
6,beluga,2.86667
8,beluga,5.6
9,beluga,2.9
14,beluga,4.06667
16,beluga,3.6
18,beluga,1.4
19,beluga,2.8
20,beluga,8.1
21,beluga,5.36667
24,beluga,4.03333
28,beluga,4.96667
29,beluga,5.43333
30,beluga,7
32,beluga,2.33333
33,beluga,7.5
35,beluga,1.8
39,beluga,4.63333
43,beluga,2.66667
44,beluga,3.13333
45,beluga,4.86667
46,beluga,2.86667
49,beluga,2.1
52,beluga,1.9
60,beluga,4.23333
62,beluga,3.1
63,beluga,3.86667
66,beluga,1.96667
67,beluga,0.666667
68,beluga,2.3
70,beluga,1.53333
74,beluga,3.2
75,beluga,5
77,beluga,1.26667
78,beluga,1.76667
79,beluga,4.56667
86,beluga,1.86667
87,beluga,3.46667
88,beluga,1.56667
93,beluga,0.9
94,beluga,3.06667
97,beluga,1.86667
101,boat,2.26667
103,beluga,1.53333
105,beluga,0.166667
112,beluga,0.2
114,beluga,0.0666667
