ID,Class,Duration
1,boat,29.6
2,beluga,0.633333
3,beluga,3.06667
5,beluga,3.4
6,beluga,0.366667
8,beluga,2.23333
9,beluga,0.5
14,beluga,0.833333
16,beluga,0.433333
18,beluga,0.7
19,beluga,1.43333
20,beluga,1.13333
21,beluga,6.06667
24,beluga,1.56667
28,beluga,3.56667
29,beluga,5.1
30,beluga,4.6
32,beluga,1.9
33,beluga,4.4
35,beluga,0.1
39,beluga,4
43,beluga,0.433333
44,beluga,1.33333
45,beluga,2.23333
46,beluga,1.4
47,beluga,1.06667
48,beluga,0.533333
51,beluga,0.6
52,beluga,8.73333
53,beluga,1
54,beluga,0.866667
56,beluga,1.36667
65,beluga,2.26667
67,beluga,0.466667
68,beluga,2.43333
70,beluga,5.86667
72,beluga,0.2
73,beluga,0.4
74,beluga,2.46667
75,beluga,1.5
78,beluga,0.5
82,beluga,5.6
83,beluga,0.533333
85,beluga,1.9
86,beluga,1.46667
87,beluga,0.133333
90,beluga,1.63333
91,beluga,1.13333
93,beluga,1.66667
94,beluga,1.1
95,beluga,2.26667
97,beluga,5.13333
101,beluga,1.1
102,beluga,0.9
104,beluga,0.766667
106,beluga,1.4
107,beluga,1.3
108,beluga,2.56667
109,beluga,5.66667
110,beluga,3.46667
111,beluga,2.2
112,beluga,1.46667
114,beluga,2.66667
115,beluga,0.733333
118,beluga,1.03333
121,beluga,1.33333
123,beluga,2.9
124,beluga,3.2
126,beluga,0.6
128,beluga,1.06667
130,beluga,1.23333
133,beluga,0.433333
136,beluga,1.76667
137,beluga,0.233333
138,beluga,0.233333
139,beluga,0.4
141,boat,2.26667
142,beluga,0.9
144,beluga,0.866667
146,beluga,1.53333
149,beluga,1.06667
150,beluga,0.4
152,beluga,0.166667
155,beluga,0.733333
159,beluga,0.2
161,beluga,0.0666667
