ID,Class,Duration
1,boat,42.3
2,kayak,42.3
3,kayak,35.1
4,beluga,4.06667
5,kayak,42.3
6,kayak,42.2
7,beluga,1.66667
9,beluga,0.433333
10,beluga,3.16667
15,beluga,13.0667
16,beluga,1.23333
17,beluga,0.533333
19,beluga,2.96667
23,beluga,6.33333
28,beluga,1.46667
29,kayak,0.3
34,beluga,1.7
35,beluga,0.733333
36,beluga,0.766667
39,beluga,0.0666667
40,beluga,3.86667
41,beluga,2.16667
42,beluga,1.2
44,beluga,0.2
47,beluga,1.6
48,beluga,0.666667
49,beluga,0.533333
50,beluga,0.4
51,beluga,0.333333
52,beluga,0.6
