ID,Class,Duration
1,boat,29.6
2,beluga,5.73333
3,beluga,3.93333
5,beluga,6.6
6,beluga,5.46667
8,beluga,3.13333
9,beluga,1.06667
14,beluga,4.8
16,beluga,3.36667
18,beluga,1.4
19,beluga,2.8
20,beluga,7.76667
21,beluga,6.1
24,beluga,1.16667
28,beluga,2.83333
29,beluga,5.43333
30,beluga,7.1
32,beluga,1.9
33,beluga,7.5
35,beluga,1.76667
39,beluga,4.86667
43,beluga,2.23333
44,beluga,2.33333
45,beluga,3.53333
46,beluga,2.53333
49,beluga,4.73333
52,beluga,2.6
60,beluga,2.86667
62,beluga,3.1
63,beluga,4.6
66,beluga,1.16667
67,beluga,1.63333
68,beluga,1.5
70,beluga,0.5
74,beluga,4.56667
75,beluga,4.7
77,beluga,1.8
78,beluga,1.6
79,beluga,4.66667
86,beluga,1.86667
87,beluga,3.46667
89,beluga,1.76667
92,beluga,0.766667
94,beluga,3.36667
97,beluga,1.86667
102,beluga,1.7
103,boat,2.26667
104,beluga,0.9
105,beluga,0.866667
106,beluga,0.966667
109,beluga,0.4
111,beluga,0.166667
118,beluga,0.2
119,beluga,0.0666667
