ID,Class,Duration
1,boat,29.6
2,beluga,0.633333
3,beluga,3.93333
5,beluga,6.6
6,beluga,0.366667
8,beluga,3.13333
9,beluga,1.06667
14,beluga,1.8
16,beluga,3.36667
18,beluga,0.9
19,beluga,2.8
20,beluga,8.1
21,beluga,6.3
24,beluga,1.16667
28,beluga,2.83333
29,beluga,5.03333
30,beluga,7.1
32,beluga,1.9
33,beluga,6.73333
35,beluga,1.76667
39,beluga,4.9
43,beluga,2.23333
44,beluga,2.93333
45,beluga,5.06667
46,beluga,2.3
49,beluga,0.6
50,beluga,5.03333
53,beluga,2.6
61,beluga,2.26667
63,beluga,3
64,beluga,3.43333
67,beluga,0.2
68,beluga,1.16667
69,beluga,4.26667
70,beluga,1.5
72,beluga,0.5
76,beluga,1.86667
77,beluga,5
79,beluga,2.46667
80,beluga,1.6
81,beluga,4.56667
82,beluga,4.06667
86,beluga,0.9
89,beluga,1.4
90,beluga,4
91,beluga,2.93333
93,beluga,1.76667
96,beluga,0.766667
101,beluga,2.46667
102,beluga,3.06667
105,beluga,1.86667
108,beluga,0.4
111,beluga,0.233333
112,beluga,0.4
113,beluga,1.7
114,boat,2.26667
115,beluga,0.9
116,beluga,0.866667
117,beluga,0.966667
120,beluga,0.4
122,beluga,0.166667
128,beluga,0.2
130,beluga,0.0666667
