ID,Class,Duration
1,boat,42.3
2,kayak,42.3
3,kayak,42.3
4,beluga,1.26667
5,kayak,42.3
6,kayak,42.2
7,beluga,1.66667
9,beluga,0.433333
10,beluga,0.966667
15,beluga,3.33333
19,beluga,1.16667
20,beluga,1.13333
21,beluga,1.5
23,beluga,2.6
25,beluga,2.46667
30,beluga,1.46667
31,kayak,0.3
35,beluga,0.6
36,beluga,0.733333
37,beluga,0.866667
38,beluga,2.36667
39,beluga,0.766667
42,beluga,2.73333
44,beluga,0.0666667
45,beluga,2.93333
46,beluga,0.0666667
47,beluga,0.966667
50,beluga,1.86667
51,beluga,0.2
54,beluga,0.733333
56,beluga,0.266667
57,beluga,0.533333
58,beluga,0.4
59,beluga,0.766667
60,beluga,0.333333
62,beluga,0.0666667
63,beluga,0.366667
64,beluga,2.6
66,beluga,1.36667
